JobID|CPUTimeRAW|
18062|857200|
18062.batch|857200|
18062.extern|857200|
18063|307840|
18063.batch|307840|
18063.extern|307840|
18064|17|
18064.batch|17|
18064.extern|17|
18065|1275400|
18065.batch|1275400|
18065.extern|1275400|
18066|8400|
18066.batch|8400|
18066.extern|8400|
18067|94720|
18067.batch|94720|
18067.extern|94720|
18068|18|
18068.batch|18|
18068.extern|18|
18069|21800|
18069.batch|21800|
18069.extern|21800|
18070|33840|
18070.batch|33840|
18070.extern|33840|
18071|0|
18071.batch|0|
18071.extern|0|
18072|762|
18072.batch|762|
18072.extern|762|
18073|5|
18073.batch|5|
18073.extern|5|
18075|1110840|
18075.batch|1110840|
18075.extern|1110840|
18076|342080|
18076.batch|342080|
18076.extern|342080|
18077|18|
18077.batch|18|
18077.extern|18|
18078|1842560|
18078.batch|1842560|
18078.extern|1842560|
18079|11240|
18079.batch|11240|
18079.extern|11240|
18080|165200|
18080.batch|165200|
18080.extern|165200|
18081|18|
18081.batch|18|
18081.extern|18|
18082|550320|
18082.batch|550320|
18082.extern|550320|
18083|839640|
18083.batch|839640|
18083.extern|839640|
18084|0|
18084.batch|0|
18084.extern|0|
18085|6823|
18085.batch|6823|
18085.extern|6823|
18086|15|
18086.batch|15|
18086.extern|15|
18087|3|
18087.batch|3|
18087.extern|3|
18088|1350|
18088.batch|1350|
18088.extern|1350|
18089|6912280|
18089.batch|6912440|
18089.extern|6912320|
18101|6|
18101.batch|6|
18101.extern|6|
18102|2628|
18102.batch|2628|
18102.extern|2628|
18103|6912440|
18103.batch|6912480|
18103.extern|6912440|
18126|0|
18127|420800|
18127.extern|420800|
18127.0|420800|
18129|0|
18129.batch|0|
18129.extern|0|
18130|2|
18130.batch|2|
18130.extern|2|
18131|240|
18131.batch|240|
18131.extern|240|
18132|2000|
18132.batch|2000|
18132.extern|2000|
18133|5|
18133.batch|5|
18133.extern|5|
18134|0|
18134.batch|0|
18134.extern|0|
18135|80|
18135.batch|80|
18135.extern|80|
18136|2000|
18136.batch|2000|
18136.extern|2000|
18137|2|
18137.batch|2|
18137.extern|2|
18138|40|
18138.batch|40|
18138.extern|40|
18139|1|
18139.batch|1|
18139.extern|1|
18140|222|
18140.batch|222|
18140.extern|222|
18141|1|
18141.batch|1|
18141.extern|1|
18144|691|
18144.batch|691|
18144.extern|691|
18145|3|
18145.batch|3|
18145.extern|3|
18151|678|
18151.batch|678|
18151.extern|678|
18152|2|
18152.batch|2|
18152.extern|2|
18160|1393|
18160.batch|1393|
18160.extern|1393|
18161|2|
18161.batch|2|
18161.extern|2|
18164|0|
18164.batch|0|
18164.extern|0|
18165|1|
18165.batch|1|
18165.extern|1|
18275|2|
18275.batch|2|
18275.extern|2|
18276|358|
18276.batch|358|
18276.extern|358|
18277|10240|
18277.batch|10240|
18277.extern|10240|
18278|144560|
18278.batch|144600|
18278.extern|144560|
