species,method,genome_coverage,hic_coverage,grouping,order,orientation,accuracy,edit_distance,seconds,scaffold_count,scaffold_largest,scaffold_n50,reference_count,reference_largest,reference_n50
hsapiens,3d_dna,100kb,100x,0.45676985154432204,0.7509381124752501,0.743640941687521,0.7474389639768451,16866.0,138147,10477,116767324,50549548,25.0,248956422.0,156040895.0
hsapiens,3d_dna,100kb,10x,0.132607644571089,0.655461129123559,0.607038523229261,0.6195342249683751,28348.0,93957,16572,39311358,6131757,25.0,248956422.0,156040895.0
hsapiens,3d_dna,100kb,1x,0.00988088963858,0.008845214687673,0.0063040638027620005,0.017106738194919,55188.0,146665,45488,2955000,100000,25.0,248956422.0,156040895.0
hsapiens,3d_dna,100kb,50x,0.45120698432696904,0.8620525391414031,0.8547613624522201,0.8579297300390311,8830.0,78310,5753,96723223,43857394,25.0,248956422.0,156040895.0
hsapiens,3d_dna,100kb,5x,0.12410745758424101,0.22049577292983202,0.179700588242197,0.18921059719802802,73480.0,280236,44762,28554256,1812305,25.0,248956422.0,156040895.0
hsapiens,3d_dna,100x,100x,0.9562658113450141,0.215429138979355,0.18801650070047501,0.231013669437987,4185.0,162359,6406,234372642,141505419,25.0,248956422.0,156040895.0
hsapiens,3d_dna,10kb,100x,0.26338597663648,0.24201326064422501,0.23745714255460101,0.49002794139593203,295412.0,249824,294333,2974565401,2974565401,25.0,248956422.0,156040895.0
hsapiens,3d_dna,10x,100x,0.09469588585553801,0.123690198554618,0.064455332620245,0.08503372410228001,27435.0,65985,20419,29448681,349337,25.0,248956422.0,156040895.0
hsapiens,3d_dna,1mb,100x,0.45480541363583704,0.706594575044973,0.6786962402150241,0.6832618058119001,5711.0,87021,3345,137827693,75774304,25.0,248956422.0,156040895.0
hsapiens,3d_dna,20x,100x,0.650909624624987,0.5845047103737251,0.506691787047579,0.533360256295313,35023.0,198885,20628,135622356,45575222,25.0,248956422.0,156040895.0
hsapiens,3d_dna,30x,100x,0.811212641173183,0.7347944344779921,0.681577754345256,0.707567483005609,21742.0,164040,13814,162909000,100129480,25.0,248956422.0,156040895.0
hsapiens,3d_dna,30x,10x,0.17727688585731802,0.287029722545166,0.21310235797846203,0.236854984500762,55379.0,368205,35963,36951875,6678705,25.0,248956422.0,156040895.0
hsapiens,3d_dna,30x,1x,0.019616689126175,0.000357544536229,0.00014806527744000002,0.015707407483436003,49738.0,21045,49172,3684494,85432,25.0,248956422.0,156040895.0
hsapiens,3d_dna,30x,50x,0.705004758159242,0.7150668932538541,0.647175248864982,0.6792815745816021,23211.0,153507,14644,161869094,62312538,25.0,248956422.0,156040895.0
hsapiens,3d_dna,30x,5x,0.057076707870872004,0.069660590668337,0.042389908807009005,0.060041652128115006,78356.0,257001,56076,10860000,267500,25.0,248956422.0,156040895.0
hsapiens,3d_dna,40x,100x,0.8710983239621991,0.7744465632996971,0.7278395094295891,0.7612297839979271,8438.0,113065,7609,212565010,124907596,25.0,248956422.0,156040895.0
hsapiens,3d_dna,500kb,100x,0.48902773179927006,0.7686447205416831,0.7441593015995901,0.7494440336889481,6364.0,91421,3764,125698127,49846124,25.0,248956422.0,156040895.0
hsapiens,3d_dna,50kb,100x,0.41203855802153905,0.834848391472628,0.8317060184653781,0.833866975127565,16425.0,166101,11093,192469115,67076223,25.0,248956422.0,156040895.0
hsapiens,3d_dna,50x,100x,0.8042324353429451,0.669332496328736,0.62944712458364,0.6638256574449001,6199.0,155883,7661,193731912,122123190,25.0,248956422.0,156040895.0
hsapiens,3d_dna,60x,100x,0.945464422401981,0.635231247579065,0.5962418141592251,0.6316524971645681,5755.0,159622,8157,234514209,141472462,25.0,248956422.0,156040895.0
hsapiens,3d_dna,70x,100x,0.8858193637707651,0.45166719805158406,0.41860866255877704,0.461115184083194,4720.0,167100,8968,234133074,129292114,25.0,248956422.0,156040895.0
hsapiens,3d_dna,80x,100x,0.9008055650465371,0.33298269580544104,0.292471480453805,0.332735368162122,4929.0,148850,8143,234375939,129894455,25.0,248956422.0,156040895.0
hsapiens,3d_dna,90x,100x,0.8350789232678991,0.260148639273591,0.171631457441787,0.235907643439898,5405.0,179481,7741,193950198,108948668,25.0,248956422.0,156040895.0
ltarentolae,3d_dna,100kb,1000x,0.211666813256002,0.884431342466501,0.884431342466501,0.8636275124572621,111.0,2345,71,22239688,22239688,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,100kb,100x,0.20828415402930503,0.8476284349706481,0.8476284349706481,0.852472058999818,128.0,566,99,9812780,7730220,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,100kb,10x,0.306404684790829,0.7474509211571501,0.7316148010454541,0.7374903789093711,224.0,148,170,8637885,5566839,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,100kb,1x,0.11850983869550001,0.021140042741842002,0.016949882979709,0.073482696249534,690.0,116,541,3036904,100000,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,100kb,500x,0.23886924773311602,0.8853726906381311,0.8837794865812441,0.864593601376977,103.0,1680,73,9021396,8703863,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,100kb,50x,0.08698692287714001,0.84364480241768,0.84364480241768,0.847353683781892,133.0,346,105,21790223,21790223,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,100kb,5x,0.320498992264641,0.378372236888916,0.320273056286071,0.335437883712895,623.0,174,385,7731000,3144385,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,100x,100x,0.14194872524878402,0.5368119159746101,0.519180157206492,0.539340000140471,155.0,549,249,14646008,14623615,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,10kb,100x,0.25945686808261603,0.291630482479104,0.28547163469589804,0.48944843395476106,3324.0,343,3242,33503846,33503846,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,10x,100x,0.31989119985782005,0.13468085113095102,0.063573768247297,0.379229470691813,552.0,72,458,877675,270473,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,1mb,100x,0.225852146087471,0.302511666365173,0.30015024126627304,0.38196248805693805,92.0,535,80,12863914,5733064,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,20x,100x,0.074445239208055,0.18836061815951602,0.159303022215485,0.200846745488578,1152.0,348,955,10253000,10253000,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,30x,100x,0.06295118657462401,0.46310346856739804,0.42318076454115405,0.45336274849136204,729.0,465,541,22543865,22543865,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,40x,100x,0.063587256493389,0.469572691531405,0.42173409618336904,0.44986771763424005,750.0,591,545,22211421,22211421,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,500kb,100x,0.043471016549559004,0.606094818724437,0.606094818724437,0.614074086532856,95.0,579,74,31521602,31521602,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,50kb,100x,0.136799288644386,0.887843669692237,0.878877333726592,0.8795659160030801,169.0,636,121,20910194,20910194,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,50x,1000x,0.09024682027446801,0.6124279980678371,0.564709828537857,0.542673912331454,352.0,2498,264,17982500,17982500,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,50x,100x,0.136916160051373,0.570611760847177,0.5026855199464171,0.5314073366080131,377.0,629,295,14186852,7626595,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,50x,10x,0.262769752797029,0.40118917208973004,0.303971486834199,0.38884096630532905,579.0,218,460,8279647,4035302,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,50x,1x,0.17596150549053902,0.000631930196933,0.000631930196933,0.09303736919620101,861.0,82,818,3473002,68293,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,50x,500x,0.131362703451327,0.618697600282828,0.5550961380524401,0.569342344911264,351.0,1704,271,14768000,10314647,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,50x,50x,0.110434560801644,0.546583072222232,0.49533722292973104,0.513051082561242,387.0,369,307,22116879,22116879,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,50x,5x,0.34577750052676803,0.193910790528796,0.126039000715212,0.195309158776028,861.0,154,664,7441163,1345039,37.0,2677755.0,1086296.0
ltarentolae,3d_dna,60x,100x,0.12906389621650702,0.6263678605459411,0.5695846999769161,0.60194435048254,180.0,495,201,23992813,23992813,37.0,2677755.0,1086296.0
